"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-08-26T13:38:29.000Z","image","Crystal Palace are closing in on Dean Henderson deal from Man United — as medical tests have been booked, first called  🚨🔴🔵 #CPFC

Agreement being finalised today.","","https://pbs.twimg.com/media/F4dhEenWgAAitTw?format=jpg&name=small","55K","3.2K","686"
"2023-08-26T13:24:44.000Z","image","Official, confirmed. Gabri Veiga joins Al Ahli from Celta Vigo, it’s sealed 🟢🇸🇦

Here’s Veiga in Paris with the two key people from Al Ahli — behind all the top signings of this summer for Saudi side.

One more huge deal with Veiga, wanted by top clubs.

Exclusive picture ⤵️📸","","https://pbs.twimg.com/media/F4da339W0AIGsdC?format=jpg&name=small","25K","3.4K","1.6K"
"2023-08-26T13:10:49.000Z","image","First round of talks between AS Roma and Chelsea for Romelu Lukaku, just finished. 🟡🔴🇧🇪 #ASRoma

Roma submitted initial important bid with loan fee, salary coverage now also being discussed.

Negotiations continue in London with owners directly involved.","","https://pbs.twimg.com/media/F4dau8gWMAAgTJm?format=jpg&name=small","34K","2.5K","510"
"2023-08-26T08:18:33.000Z","image","Official, confirmed. Sardar Azmoun has signed in as new AS Roma player from Bayer Leverkusen on loan deal until June 🟡🔴🇮🇷 #ASRoma

Buy option clause, €12m.","","https://pbs.twimg.com/media/F4cX18RXUAADDpa?format=jpg&name=small","14K","974","296"
"2023-08-26T08:04:00.000Z","image","Sofyan Amrabat, not part of Fiorentina squad as he has decided to wait for a move until the end of the window; Manchester United, priority since end of June  🔴🇲🇦

No official bid from United to Fiorentina yet. United are informed on deal conditions but waiting on outgoings.","","https://pbs.twimg.com/media/F4bH3zGWMAIt5fM?format=jpg&name=small","59K","5.4K","1.8K"
"2023-08-26T07:29:00.000Z","image","Philippe Coutinho has now reached an agreement with Qatari side Al Duhail on personal terms; but still no final green light from Aston Villa 🇶🇦🇧🇷 #AVFC 

Negotiations continue but from Qatar serious intention to proceed and make it happen.","","https://pbs.twimg.com/media/F4bGre3XMAE3kTu?format=jpg&name=small","37K","2.9K","839"
"2023-08-26T07:01:00.000Z","image","AS Roma, set to make big push for Romelu Lukaku deal by submitting official loan bid today. Club's director and owner in London to held direct talks with Chelsea 🚨🟡🔴🇧🇪

Loan fee and salary coverage, crucial points for #CFC to give the green light. Crucial 24/48h ahead.","","https://pbs.twimg.com/media/F4bGDhLWEAAsRrq?format=jpg&name=small","23K","2K","608"
"2023-08-26T06:40:00.000Z","image","Klopp on budget for Liverpool: “I I have all the information around and I know what is possible and not possible, and it's not always exactly what I want”. 🔴 #LFC

“But it’s not my job to complain, I will make my best for the team”.","","https://pbs.twimg.com/media/F4bEnUHXsAAeZGV?format=jpg&name=small","26K","2.3K","1.3K"
"2023-08-26T06:10:00.000Z","image","Carlos Baleba deal remains on. Brighton have sent new bid to Lille in the last 48h, waiting for final outcome and decision soon 🔵🇨🇲 #BHAFC 

Sambi Lokonga remains the plan B, but Brighton want to get Baleba deal done.","","https://pbs.twimg.com/media/F4bFhj2XoAAI7N7?format=jpg&name=small","11K","740","278"
"2023-08-26T06:01:00.000Z","image","Udinese have asked for Brazilian striker Kaio Jorge, deal at advanced stages as Kaio could leave Juventus on loan until the end of the season ⚪️⚫️🇧🇷

Talks advancing, waiting to clarify Beto's future.","","https://pbs.twimg.com/media/F4bFHQbW0AA2CJ2?format=jpg&name=small","11K","720","256"
"2023-08-26T03:08:01.000Z","text","È isso 🥂","","","481","28","21"
"2023-08-26T02:51:36.000Z","text","I agree, interesting talent. Top, top signing.","","","264","4","12"
"2023-08-26T02:49:28.000Z","image","More on exclusive news: Gabri Veiga will travel to Saudi today. All documents are signed and sealed, late night deal now completed. 🟢🔒🇸🇦 #AlAhliGabri Veiga has just signed the contract and he’s new Al Ahli player — done deal, here we go confirmed 🚨🟢🇸🇦 #AlAhli

Medical completed tonight, documents signed at 2am CET. Gabri Veiga leaves Celta Vigo and joins Al Ahli as they complete one more huge move.

Signed, sealed 🔒🇪🇸","","https://pbs.twimg.com/media/F4aslmXW4AQOc18?format=jpg&name=small","12K","1.6K","788"
"2023-08-26T02:47:36.000Z","image","Benfica midfielder Soualiho Meité will travel to Greece today as he’s set to join PAOK on loan deal ⚪️⚫️🇬🇷

Medical booked, deal will also include €4m buy option.

🦅 Understand Benfica keep 30% of future sale in case PAOK will buy Meité on permanent deal in June.","","https://pbs.twimg.com/media/F4bMF5kXAAAqxwZ?format=jpg&name=small","11K","752","228"
"2023-08-26T02:10:01.000Z","image","Everton and Udinese will discuss again of Beto deal today. €30m proposal on the table, Udinese want bit more to get it done 🚨🔵 #EFC

Structure of the deal and add-ons could be crucial to make it happen. Beto has already accepted the move.","","https://pbs.twimg.com/media/F4bDfaDX0AAhaja?format=jpg&name=small","12K","810","227"
"2023-08-25T21:26:08.000Z","image","Manchester City and Wolves remain in direct contact over Matheus Nunes deal as he’s the top target in midfield 🚨🔵

New bid will be submitted after €55m package rejected, likely to be the last one from City.

Matheus wants the move, City always been in active talks with Wolves.","","https://pbs.twimg.com/media/F4aChBaWIAALptp?format=jpg&name=small","32K","2.1K","421"
"2023-08-25T21:17:35.000Z","image","Four goals and one assist in three games as Real Madrid player ⭐️ #Bellingham","","https://pbs.twimg.com/media/F4aAjuMWAAAW5UX?format=jpg&name=small","129K","8.4K","2.6K"
"2023-08-25T20:58:10.000Z","image","Understand Fodé Ballo-Touré wants to join Werder Bremer as priority 🟢🇸🇳

Meanwhile, AC Milan prefer to agree deal with Royal Antwerp as it’d be on better conditions. 🔴🇧🇪

Decision to follow in the next days.","","https://pbs.twimg.com/media/F4Z8HS-WkAEa89W?format=jpg&name=small","12K","855","200"
"2023-08-25T20:46:27.000Z","image","Everton have submitted new formal bid for Beto after €25m proposal revealed yesterday — now up to €30m 🚨🔵🇵🇹

Udinese always asked for €35m as value of the release clause but clubs working on add-ons structure now.

Talks underway. #EFC","","https://pbs.twimg.com/media/F4Z5bovXgAAmOSr?format=jpg&name=small","12K","988","251"
"2023-08-25T20:43:22.000Z","image","New proposal from Everton to Udinese for Beto — submitted today 🔵🇵🇹Everton approached Udinese with initial €25/26m package for Portuguese striker Beto — he was already on Everton list last January 🚨🔵🇵🇹 #EFC

Sources feel that’s not enough yet to convince Udinese.

Release clause into Beto’s contract: €35m.","","https://pbs.twimg.com/media/F4ToyoLXcAApGhA?format=jpg&name=small","7.8K","540","198"
"2023-08-25T20:11:24.000Z","text","very important to mention the sell on clause 👌🏻","","","131","8","10"
"2023-08-25T20:03:49.000Z","image","Folarin Balogun to AS Monaco, here we go! Agreement completed with Arsenal on €40m package add-ons included 🔴⚪️🇺🇸 #ASMonaco

⭐️ Understand Arsenal will also retain significant sell-on clause for the future.

Medical tests expected this weekend.

Long term deal for Balogun.","","https://pbs.twimg.com/media/F4ZvrAvW8AALdh_?format=jpg&name=small","54K","7.5K","1.3K"
